sample,time_s,raw_u16,code12,voltage_V
0,0.000061000,58430,3651,2.942229
1,0.000511000,49276,3079,2.481282
2,0.001012000,30423,1901,1.531943
3,0.001512000,13155,822,0.662417
4,0.002012000,7729,483,0.389192
5,0.002513000,17380,1086,0.875166
6,0.003012000,36360,2272,1.830900
7,0.003512000,53565,3347,2.697253
8,0.004011000,58782,3673,2.959954
9,0.004511000,49035,3064,2.469146
10,0.005011000,30327,1895,1.527109
11,0.005510000,13235,827,0.666445
12,0.006010000,7553,472,0.380330
13,0.006510000,17316,1082,0.871943
14,0.007010000,36360,2272,1.830900
15,0.007510000,53357,3334,2.686780
16,0.008010000,58942,3683,2.968011
17,0.008510000,50332,3145,2.534456
18,0.009010000,30359,1897,1.528720
19,0.009509000,12002,750,0.604358
20,0.010009000,7729,483,0.389192
21,0.010508000,17220,1076,0.867109
22,0.011009000,36152,2259,1.820426
23,0.011509000,53277,3329,2.682751
24,0.012009000,58894,3680,2.965594
25,0.012509000,49500,3093,2.492561
26,0.013009000,30567,1910,1.539194
27,0.013508000,13379,836,0.673696
28,0.014008000,7729,483,0.389192
29,0.014514000,17412,1088,0.876777
30,0.015014000,36408,2275,1.833316
31,0.015514000,53357,3334,2.686780
32,0.016013000,59102,3693,2.976068
33,0.016513000,49740,3108,2.504646
34,0.017013000,30359,1897,1.528720
35,0.017513000,13219,826,0.665640
36,0.018013000,7665,479,0.385969
37,0.018512000,17364,1085,0.874360
38,0.019012000,36360,2272,1.830900
39,0.019511000,53405,3337,2.689196
40,0.020011000,58862,3678,2.963982
41,0.020511000,49372,3085,2.486116
42,0.021010000,30359,1897,1.528720
43,0.021510000,13267,829,0.668057
44,0.022010000,7729,483,0.389192
45,0.022511000,17348,1084,0.873555
46,0.023010000,37337,2333,1.880096
47,0.023509000,53517,3344,2.694836
48,0.024009000,58894,3680,2.965594
49,0.024509000,49308,3081,2.482893
50,0.025008000,30455,1903,1.533555
51,0.025514000,13187,824,0.664028
52,0.026014000,7841,490,0.394832
53,0.026513000,17236,1077,0.867915
54,0.027012000,36360,2272,1.830900
55,0.027513000,53549,3346,2.696448
56,0.028012000,58830,3676,2.962371
57,0.028512000,49420,3088,2.488533
58,0.029011000,30471,1904,1.534360
59,0.029511000,13187,824,0.664028
60,0.030010000,7777,486,0.391609
61,0.030510000,17332,1083,0.872749
62,0.031010000,36216,2263,1.823648
63,0.031509000,53517,3344,2.694836
64,0.032009000,58958,3684,2.968816
65,0.032508000,49404,3087,2.487727
66,0.033008000,30791,1924,1.550474
67,0.033508000,13187,824,0.664028
68,0.034009000,7729,483,0.389192
69,0.034514000,17380,1086,0.875166
70,0.035014000,36440,2277,1.834928
71,0.035514000,53501,3343,2.694030
72,0.036013000,58766,3672,2.959149
73,0.036513000,49356,3084,2.485310
74,0.037012000,30247,1890,1.523081
75,0.037513000,13091,818,0.659194
76,0.038012000,8065,504,0.406111
77,0.038512000,17412,1088,0.876777
78,0.039012000,35960,2247,1.810758
79,0.039512000,53677,3354,2.702893
80,0.040011000,58942,3683,2.968011
81,0.040511000,49596,3099,2.497395
82,0.041010000,30455,1903,1.533555
83,0.041510000,13267,829,0.668057
84,0.042009000,7713,482,0.388386
85,0.042509000,17220,1076,0.867109
86,0.043009000,36216,2263,1.823648
87,0.043509000,53469,3341,2.692419
88,0.044009000,58910,3681,2.966400
89,0.044508000,49292,3080,2.482087
90,0.045014000,30279,1892,1.524692
91,0.045513000,13219,826,0.665640
92,0.046013000,7921,495,0.398860
93,0.046513000,17316,1082,0.871943
94,0.047013000,36536,2283,1.839762
95,0.047513000,53293,3330,2.683557
96,0.048013000,58798,3674,2.960760
97,0.048512000,49292,3080,2.482087
98,0.049012000,30471,1904,1.534360
99,0.049513000,13219,826,0.665640
100,0.050012000,9138,571,0.460142
101,0.050512000,18340,1146,0.923506
102,0.051012000,36360,2272,1.830900
103,0.051511000,53437,3339,2.690808
104,0.052011000,58830,3676,2.962371
105,0.052511000,49628,3101,2.499006
106,0.053010000,30519,1907,1.536777
107,0.053510000,13187,824,0.664028
108,0.054011000,7921,495,0.398860
109,0.054510000,17220,1076,0.867109
110,0.055010000,36120,2257,1.818814
111,0.055510000,53725,3357,2.705310
112,0.056010000,58894,3680,2.965594
113,0.056510000,49468,3091,2.490950
114,0.057009000,30439,1902,1.532749
115,0.057509000,13203,825,0.664834
116,0.058009000,7825,489,0.394026
117,0.058509000,17252,1078,0.868721
118,0.059009000,36200,2262,1.822843
119,0.059509000,54461,3403,2.742371
120,0.060008000,58910,3681,2.966400
121,0.060514000,49131,3070,2.473980
122,0.061014000,30247,1890,1.523081
123,0.061514000,13123,820,0.660806
124,0.062014000,7777,486,0.391609
125,0.062513000,17540,1096,0.883223
126,0.063013000,36344,2271,1.830094
127,0.063513000,53405,3337,2.689196
