sample,time_s,raw_u16,code12,voltage_V
0,0.000060000,47515,2969,2.392607
1,0.000516000,58078,3629,2.924504
2,0.001011000,56029,3501,2.821328
3,0.001511000,41018,2563,2.065452
4,0.002011000,21365,1335,1.075830
5,0.002510000,8770,548,0.441611
6,0.003010000,10498,656,0.528624
7,0.003510000,25670,1604,1.292607
8,0.004010000,45163,2822,2.274172
9,0.004509000,57838,3614,2.912419
10,0.005010000,56157,3509,2.827773
11,0.005509000,41578,2598,2.093650
12,0.006008000,21461,1341,1.080664
13,0.006508000,8642,540,0.435166
14,0.007014000,10642,665,0.535875
15,0.007513000,25766,1610,1.297441
16,0.008013000,45403,2837,2.286258
17,0.008513000,57966,3622,2.918864
18,0.009012000,56221,3513,2.830996
19,0.009512000,41018,2563,2.065452
20,0.010012000,21333,1333,1.074218
21,0.010512000,8866,554,0.446445
22,0.011011000,10338,646,0.520568
23,0.011511000,25478,1592,1.282939
24,0.012011000,44842,2802,2.258009
25,0.012510000,57838,3614,2.912419
26,0.013010000,56077,3504,2.823744
27,0.013509000,41258,2578,2.077537
28,0.014009000,21813,1363,1.098389
29,0.014508000,8498,531,0.427915
30,0.015008000,10498,656,0.528624
31,0.015508000,25622,1601,1.290190
32,0.016008000,46187,2886,2.325736
33,0.016514000,58142,3633,2.927727
34,0.017013000,56125,3507,2.826162
35,0.017513000,41018,2563,2.065452
36,0.018013000,21509,1344,1.083081
37,0.018513000,8770,548,0.441611
38,0.019013000,10386,649,0.522985
39,0.019512000,25686,1605,1.293413
40,0.020012000,45771,2860,2.304788
41,0.020512000,57822,3613,2.911614
42,0.021011000,56621,3538,2.851137
43,0.021511000,41242,2577,2.076732
44,0.022011000,21493,1343,1.082275
45,0.022510000,8770,548,0.441611
46,0.023010000,10386,649,0.522985
47,0.023511000,25462,1591,1.282133
48,0.024010000,45163,2822,2.274172
49,0.024510000,57934,3620,2.917253
50,0.025010000,56061,3503,2.822939
51,0.025510000,42330,2645,2.131518
52,0.026009000,22245,1390,1.120142
53,0.026509000,8690,543,0.437583
54,0.027009000,10290,643,0.518151
55,0.027508000,25702,1606,1.294218
56,0.028008000,45147,2821,2.273367
57,0.028508000,57582,3598,2.899528
58,0.029008000,56349,3521,2.837441
59,0.029514000,41034,2564,2.066258
60,0.030013000,21221,1326,1.068579
61,0.030513000,8866,554,0.446445
62,0.031013000,10610,663,0.534264
63,0.031512000,25702,1606,1.294218
64,0.032012000,45419,2838,2.287063
65,0.032513000,57934,3620,2.917253
66,0.033012000,56157,3509,2.827773
67,0.033513000,41130,2570,2.071092
