frequency_Hz,magnitude_Vpeak,magnitude_dBFS,bin_type
0.000000,0.00114637,-63.1632,dc
3.907015,0.00204119,-58.1520,noise
7.814029,0.00066342,-67.9139,noise
11.721044,0.00059010,-68.9312,noise
15.628058,0.00055295,-69.4959,noise
19.535072,0.00061120,-68.6260,noise
23.442088,0.00087081,-65.5512,noise
27.349102,0.00103740,-64.0308,noise
31.256116,0.00168549,-59.8151,noise
35.163130,0.00120970,-62.6962,noise
39.070144,0.00046212,-71.0546,noise
42.977160,0.00111511,-63.4033,noise
46.884176,0.00085527,-65.7077,noise
50.791190,0.00061680,-68.5469,noise
54.698204,0.00128340,-62.1824,noise
58.605220,0.00099002,-64.4368,noise
62.512232,0.00018147,-79.1738,noise
66.419250,0.00132954,-61.8757,noise
70.326260,0.00223538,-57.3627,noise
74.233280,0.00145432,-61.0965,noise
78.140290,0.00126850,-62.2838,noise
82.047310,0.00230500,-57.0963,noise
85.954320,0.00344753,-53.5995,noise
89.861336,0.00291093,-55.0690,noise
93.768350,0.00162251,-60.1459,noise
97.675360,0.00110348,-63.4944,noise
101.582380,0.00177150,-59.3829,noise
105.489392,0.00213531,-57.7604,noise
109.396410,0.00290567,-55.0848,noise
113.303420,0.00378183,-52.7956,noise
117.210440,0.00261188,-56.0106,noise
121.117452,0.00172148,-59.6316,noise
125.024470,0.00198734,-58.3842,noise
128.931490,0.00146449,-61.0360,noise
132.838500,0.00101704,-64.2029,noise
136.745520,0.00150238,-60.8141,noise
140.652520,0.00141717,-61.3212,noise
144.559540,0.00263893,-55.9211,noise
148.466560,0.00261135,-56.0124,noise
152.373560,0.00087416,-65.5179,noise
156.280580,0.00141760,-61.3186,noise
160.187590,0.00237810,-56.8251,noise
164.094620,0.00221397,-57.4462,noise
168.001640,0.00124608,-62.4388,noise
171.908640,0.00109717,-63.5442,noise
175.815660,0.00068266,-67.6656,noise
179.722668,0.00092822,-64.9967,noise
183.629680,0.00076181,-66.7128,noise
187.536700,0.00052448,-69.9550,noise
191.443716,0.00148302,-60.9267,noise
195.350720,0.00150598,-60.7933,noise
199.257744,0.00134007,-61.8071,noise
203.164760,0.00074310,-66.9287,noise
207.071780,0.00056502,-69.3084,noise
210.978784,0.00087794,-65.4804,noise
214.885800,0.00264632,-55.8968,noise
218.792820,0.00242722,-56.6475,guard
222.699824,0.00120383,-62.7384,guard
226.606840,0.00133109,-61.8655,guard
230.513860,0.00108628,-63.6308,guard
234.420880,0.00079972,-66.2910,signal
238.327900,0.00164486,-60.0271,signal
242.234916,0.00175976,-59.4406,signal
246.141920,0.64744868,-8.1256,signal
250.048940,1.29642320,-2.0947,signal
253.955952,0.64827644,-8.1145,signal
