sample,time_s,raw_u16,code12,voltage_V
0,0.000059000,56477,3529,2.843887
1,0.000512000,43978,2748,2.214502
2,0.001014000,23893,1493,1.203127
3,0.001513000,9826,614,0.494786
4,0.002012000,9186,574,0.462559
5,0.002512000,22805,1425,1.148341
6,0.003012000,42538,2658,2.141991
7,0.003511000,56829,3551,2.861611
8,0.004011000,57486,3592,2.894694
9,0.004510000,43930,2745,2.212085
10,0.005010000,24165,1510,1.216823
11,0.005510000,9858,616,0.496397
12,0.006010000,8882,555,0.447251
13,0.006509000,22725,1420,1.144312
14,0.007009000,42186,2636,2.124266
15,0.007508000,56829,3551,2.861611
16,0.008014000,57325,3582,2.886587
17,0.008514000,43882,2742,2.209668
18,0.009014000,23877,1492,1.202321
19,0.009514000,9762,610,0.491563
20,0.010013000,10098,631,0.508483
21,0.010512000,22645,1415,1.140284
22,0.011012000,42522,2657,2.141186
23,0.011512000,56637,3539,2.851943
24,0.012012000,57502,3593,2.895500
25,0.012511000,44202,2762,2.225782
26,0.013010000,24229,1514,1.220046
27,0.013510000,9954,622,0.501231
28,0.014010000,9026,564,0.454502
29,0.014510000,22725,1420,1.144312
30,0.015009000,42298,2643,2.129906
31,0.015509000,56877,3554,2.864028
32,0.016009000,57293,3580,2.884976
33,0.016508000,43962,2747,2.213696
34,0.017008000,24341,1521,1.225686
35,0.017514000,10114,632,0.509288
36,0.018014000,8978,561,0.452085
37,0.018508000,22325,1395,1.124170
38,0.019008000,42666,2666,2.148437
39,0.019508000,56861,3553,2.863223
40,0.020008000,57406,3587,2.890666
41,0.020508000,44170,2760,2.224170
42,0.021008000,24325,1520,1.224880
43,0.021509000,9842,615,0.495592
44,0.022008000,9298,581,0.468199
45,0.022508000,22821,1426,1.149146
46,0.023008000,42458,2653,2.137963
47,0.023508000,56893,3555,2.864834
48,0.024008000,57358,3584,2.888249
49,0.024508000,44090,2755,2.220142
50,0.025014000,24181,1511,1.217629
51,0.025514000,9778,611,0.492369
52,0.026008000,9234,577,0.464976
53,0.026514000,22709,1419,1.143506
