frequency_Hz,magnitude_Vpeak,magnitude_dBFS,bin_type
0.000000,0.00017469,-79.5041,dc
1.953316,0.00037611,-72.8434,noise
3.906632,0.00030459,-74.6755,noise
5.859948,0.00013656,-81.6430,noise
7.813264,0.00071561,-67.2562,noise
9.766580,0.00118735,-62.8581,noise
11.719896,0.00086934,-65.5659,noise
13.673212,0.00052149,-70.0047,noise
15.626528,0.00055702,-69.4322,noise
17.579844,0.00009056,-85.2113,noise
19.533160,0.00036290,-73.1539,noise
21.486476,0.00064325,-68.1821,noise
23.439792,0.00040613,-72.1765,noise
25.393108,0.00067382,-67.7787,noise
27.346424,0.00114701,-63.1583,noise
29.299740,0.00063473,-68.2979,noise
31.253056,0.00053020,-69.8608,noise
33.206370,0.00018516,-78.9987,noise
35.159688,0.00021215,-77.8168,noise
37.113004,0.00051287,-70.1495,noise
39.066320,0.00083666,-65.8987,noise
41.019636,0.00038860,-72.5596,noise
42.972950,0.00032208,-74.1905,noise
44.926264,0.00063425,-68.3045,noise
46.879584,0.00059641,-68.8387,noise
48.832900,0.00064513,-68.1568,noise
50.786216,0.00047114,-70.8866,noise
52.739532,0.00069371,-67.5261,noise
54.692850,0.00117158,-62.9743,noise
56.646164,0.00098500,-64.4810,noise
58.599480,0.00016318,-80.0964,noise
60.552796,0.00094942,-64.8005,noise
62.506110,0.00076418,-66.6857,noise
64.459430,0.00061317,-68.5981,noise
66.412740,0.00117955,-62.9153,noise
68.366060,0.00100455,-64.3102,noise
70.319376,0.00125666,-62.3654,noise
72.272690,0.00137449,-61.5869,noise
74.226008,0.00068578,-67.6260,noise
76.179320,0.00119476,-62.8041,noise
78.132640,0.00054992,-69.5436,noise
80.085950,0.00026760,-75.8000,noise
82.039270,0.00017025,-79.7278,noise
83.992584,0.00036056,-73.2100,noise
85.945900,0.00044294,-71.4228,noise
87.899216,0.00043414,-71.5970,noise
89.852530,0.00041568,-71.9744,noise
91.805850,0.00031368,-74.4200,noise
93.759170,0.00057377,-69.1749,noise
95.712490,0.00081878,-66.0863,noise
97.665800,0.00147539,-60.9716,noise
99.619120,0.00161547,-60.1837,noise
101.572430,0.00050207,-70.3344,noise
103.525750,0.00088835,-65.3780,noise
105.479064,0.00065145,-68.0721,noise
107.432380,0.00065270,-68.0554,noise
109.385700,0.00071785,-67.2290,noise
111.339010,0.00094752,-64.8179,noise
113.292330,0.00177950,-59.3437,noise
115.245640,0.00210631,-57.8792,noise
117.198960,0.00101772,-64.1971,noise
119.152268,0.00045770,-71.1380,noise
121.105590,0.00087097,-65.5496,noise
123.058910,0.00104068,-64.0033,noise
125.012220,0.00114948,-63.1397,noise
126.965540,0.00089043,-65.3577,noise
128.918860,0.00044392,-71.4037,noise
130.872180,0.00051235,-70.1583,noise
132.825480,0.00086425,-65.6169,noise
134.778810,0.00085191,-65.7418,noise
136.732120,0.00151562,-60.7379,noise
138.685440,0.00084850,-65.7767,noise
140.638750,0.00081442,-66.1327,noise
142.592070,0.00052327,-69.9751,noise
144.545380,0.00038004,-72.7530,noise
146.498700,0.00066462,-67.8983,noise
148.452010,0.00081004,-66.1796,noise
150.405340,0.00030158,-74.7616,noise
152.358640,0.00101555,-64.2156,noise
154.311960,0.00056926,-69.2434,noise
156.265280,0.00032835,-74.0228,noise
158.218600,0.00074455,-66.9118,noise
160.171900,0.00101202,-64.2459,noise
162.125230,0.00103431,-64.0567,noise
164.078540,0.00101665,-64.2062,noise
166.031860,0.00168403,-59.8227,noise
167.985168,0.00103165,-64.0790,noise
169.938492,0.00050219,-70.3324,noise
171.891800,0.00122898,-62.5588,noise
173.845120,0.00065586,-68.0134,noise
175.798432,0.00079984,-66.2896,noise
177.751760,0.00124612,-62.4385,noise
179.705060,0.00150838,-60.7795,noise
181.658380,0.00096744,-64.6372,noise
183.611700,0.00060868,-68.6619,noise
185.565020,0.00083000,-65.9682,noise
187.518340,0.00054541,-69.6152,noise
189.471652,0.00054952,-69.5501,noise
191.424980,0.00038491,-72.6426,noise
193.378280,0.00064600,-68.1450,noise
195.331600,0.00028492,-75.2551,noise
197.284916,0.00103264,-64.0707,noise
199.238240,0.00079586,-66.3329,noise
201.191540,0.00128884,-62.1457,noise
203.144860,0.00054155,-69.6769,noise
205.098180,0.00008074,-86.2082,noise
207.051500,0.00061003,-68.6427,noise
209.004800,0.00129634,-62.0953,noise
210.958132,0.00097872,-64.5365,noise
212.911440,0.00062959,-68.3685,noise
214.864760,0.00120706,-62.7151,noise
