sample,time_s,raw_u16,code12,voltage_V
169,0.084514000,10290,643,0.518151
170,0.085013000,8738,546,0.440000
171,0.085513000,21013,1313,1.058105
172,0.086014000,40633,2539,2.046066
173,0.086513000,55997,3499,2.819716
174,0.087013000,58094,3630,2.925310
175,0.087513000,45851,2865,2.308817
176,0.088013000,26134,1633,1.315972
177,0.088513000,10722,670,0.539904
178,0.089012000,8546,534,0.430332
179,0.089512000,20901,1306,1.052465
180,0.090011000,40585,2536,2.043648
181,0.090511000,55821,3488,2.810854
182,0.091010000,58206,3637,2.930950
183,0.091510000,45851,2865,2.308817
184,0.092009000,26326,1645,1.325640
185,0.092509000,10802,675,0.543932
186,0.093009000,8738,546,0.440000
187,0.093509000,20869,1304,1.050854
188,0.094008000,40521,2532,2.040426
189,0.094509000,55725,3482,2.806020
190,0.095009000,58046,3627,2.922893
191,0.095509000,45739,2858,2.303177
192,0.096008000,25798,1612,1.299052
193,0.096509000,10738,671,0.540710
194,0.097009000,8610,538,0.433555
195,0.097508000,21445,1340,1.079858
196,0.098014000,40665,2541,2.047677
197,0.098513000,55997,3499,2.819716
198,0.099013000,58142,3633,2.927727
199,0.099513000,45723,2857,2.302371
200,0.100013000,26086,1630,1.313555
201,0.100512000,10770,673,0.542321
202,0.101012000,8658,541,0.435972
203,0.101511000,20901,1306,1.052465
204,0.102011000,40329,2520,2.030758
205,0.102511000,55901,3493,2.814882
206,0.103010000,58174,3635,2.929338
207,0.103510000,46011,2875,2.316874
208,0.104010000,26422,1651,1.330474
209,0.104510000,10738,671,0.540710
210,0.105011000,8562,535,0.431138
211,0.105510000,20933,1308,1.054076
212,0.106010000,40393,2524,2.033980
213,0.106510000,55805,3487,2.810048
214,0.107009000,58078,3629,2.924504
215,0.107509000,46251,2890,2.328958
216,0.108009000,26294,1643,1.324028
217,0.108508000,10946,684,0.551183
218,0.109008000,8786,549,0.442417
219,0.109508000,20613,1288,1.037963
220,0.110014000,40745,2546,2.051705
221,0.110514000,55917,3494,2.815688
222,0.111014000,58078,3629,2.924504
223,0.111514000,45723,2857,2.302371
224,0.112014000,26390,1649,1.328862
225,0.112514000,10850,678,0.546349
226,0.113013000,9170,573,0.461753
227,0.113513000,21061,1316,1.060522
228,0.114013000,40553,2534,2.042037
229,0.114512000,55725,3482,2.806020
230,0.115011000,58238,3639,2.932561
231,0.115512000,45771,2860,2.304788
232,0.116011000,26310,1644,1.324834
233,0.116511000,10978,686,0.552795
234,0.117010000,8674,542,0.436777
235,0.117510000,20933,1308,1.054076
236,0.118010000,40569,2535,2.042843
237,0.118510000,55965,3497,2.818105
238,0.119009000,58078,3629,2.924504
239,0.119509000,45899,2868,2.311234
240,0.120009000,26358,1647,1.327251
241,0.120508000,10994,687,0.553600
242,0.121014000,8530,533,0.429526
243,0.121514000,20901,1306,1.052465
244,0.122014000,40633,2539,2.046066
245,0.122514000,55789,3486,2.809242
246,0.123014000,57998,3624,2.920476
247,0.123514000,45675,2854,2.299954
248,0.124013000,26118,1632,1.315166
249,0.124513000,10706,669,0.539098
250,0.125012000,8578,536,0.431943
251,0.125511000,20933,1308,1.054076
252,0.126011000,40569,2535,2.042843
253,0.126512000,56125,3507,2.826162
254,0.127011000,57982,3623,2.919670
255,0.127511000,45675,2854,2.299954
256,0.128011000,26022,1626,1.310332
257,0.128510000,10866,679,0.547155
258,0.129011000,8658,541,0.435972
259,0.129510000,20805,1300,1.047631
260,0.130010000,40121,2507,2.020284
261,0.130510000,56045,3502,2.822133
262,0.131009000,57886,3617,2.914836
263,0.131509000,45819,2863,2.307205
264,0.132007000,26374,1648,1.328057
265,0.132514000,10706,669,0.539098
266,0.133014000,8642,540,0.435166
267,0.133514000,21045,1315,1.059716
268,0.134013000,40665,2541,2.047677
269,0.134512000,56029,3501,2.821328
270,0.135012000,58078,3629,2.924504
271,0.135512000,45787,2861,2.305594
272,0.136012000,26342,1646,1.326445
273,0.136511000,10658,666,0.536681
274,0.137011000,8626,539,0.434360
275,0.137511000,20901,1306,1.052465
276,0.138010000,40553,2534,2.042037
277,0.138509000,56557,3534,2.847915
278,0.139010000,58126,3632,2.926921
279,0.139510000,45739,2858,2.303177
280,0.140010000,26102,1631,1.314360
281,0.140510000,10834,677,0.545544
